0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.77304,4.5036,2.3272,1.857
0.88253,4.2498,2.5633,1.9675
0.88625,4.8901,2.9003,2.1944
0.86538,4.1022,2.6528,2.0758
0.86067,5.4139,2.897,2.2134
0.8645,4.9878,2.7081,2.0954
0.68307,5.2706,2.9317,2.1975
0.70558,5.2541,2.8586,2.1127
0.70686,4.7064,2.7565,2.1228
0.66732,6.1063,2.9662,2.3482
0.69916,4.7783,2.7931,2.1409
0.70618,5.4068,3.0661,2.2916
0.7233,5.011,2.6845,2.0682
0.73849,4.8264,2.9728,2.1969
0.76796,5.0826,3.1046,2.3382
0.78796,5.5074,3.1586,2.2465
0.82943,5.4595,3.0469,2.3535
0.83674,4.4994,3.2547,2.4866
0.83134,4.8592,3.1518,2.3629
0.7986,5.9732,2.9688,2.3308
0.813,4.9682,3.1747,2.4641
0.80228,6.2002,3.3564,2.5095
0.80118,4.4007,2.7944,2.2179
0.79486,5.8045,3.2323,2.5532
0.79326,4.9271,3.137,2.3505
0.78102,5.4738,3.1966,2.4013
0.75426,5.4573,3.3785,2.4317
0.73823,4.884,2.9286,2.3083
0.73062,4.3301,3.2062,2.3622
0.7146,4.9324,3.1212,2.4034
0.71141,4.9931,3.1441,2.4296
0.69984,5.9727,3.711,2.6745
0.69623,5.2479,3.2533,2.507
0.68639,5.7358,3.0253,2.4343
0.68605,5.5476,3.3825,2.5884
0.66843,5.3329,3.3058,2.4936
0.67068,5.1665,3.1781,2.4512
0.66955,5.9597,3.3913,2.4852
0.67541,6.002,3.5092,2.6053
0.67547,5.1409,3.3199,2.5074
0.81379,5.3687,2.9941,2.4086
1.358,5.2982,3.0527,2.3629
1.348,6.1584,3.5391,2.6008
1.2846,5.3082,3.0605,2.4385
1.4379,4.8739,3.1614,2.4038
1.3989,5.0293,3.467,2.4886
1.4327,5.8211,3.2933,2.4638
1.4005,5.2759,3.0172,2.3764
1.4255,5.4425,3.282,2.5345
1.4196,5.0795,3.1726,2.4501
1.426,5.3427,3.3907,2.6253
1.4166,5.606,3.2862,2.3902
1.4236,5.9284,3.3055,2.5857
1.4512,5.5851,3.5329,2.6064
1.4398,5.5556,3.2335,2.3845
1.4194,5.6227,3.4091,2.6297
1.5422,5.0542,3.2127,2.5896
1.5971,5.2474,3.3443,2.5202
1.7701,5.3511,3.1031,2.6064
1.8448,5.3012,3.5033,2.5862
1.9099,5.49,3.346,2.7194
1.8218,5.618,3.3027,2.4406
1.8429,5.7055,3.4769,2.5796
1.8347,5.0112,3.2146,2.5191
1.8837,5.0493,3.6505,2.7357
