235.59,202.29,1.6652
234.75,197.88,1.8436
239.85,196.65,2.16
244.36,194.31,2.5021
207.76,197.94,0.4908
207.02,196.82,0.50988
200.03,188.8,0.56166
200.63,188.39,0.61197
198.2,185.11,0.65453
203.98,189.58,0.71958
204.12,190,0.70573
208.6,194.17,0.72147
209.45,195.94,0.67581
204.98,191.2,0.68896
207.94,191.75,0.8094
208.65,192.07,0.82932
210.62,193.75,0.84358
209.33,191.97,0.86816
212.41,193.97,0.92234
212.56,193.47,0.95461
219,197.48,1.0758
226.71,201.6,1.2555
232.02,207.27,1.2377
237.21,206.54,1.5333
246.62,209.9,1.836
252.93,209.33,2.1799
219.2,209.64,0.47779
219.75,209.76,0.49944
212.71,202.24,0.52327
214.02,202.88,0.55697
215.87,204.58,0.56459
215.35,203.85,0.5749
213.1,201.32,0.58899
217.77,207.19,0.52911
216.37,205.2,0.55859
215.91,203.67,0.61207
216.49,203.87,0.63079
217.37,204.39,0.64905
220.95,207.28,0.6832
225.4,211.4,0.70043
230.76,213.94,0.84082
232.29,214.9,0.8696
230.34,213.23,0.85546
233.7,215.49,0.91035
233.16,214.91,0.91219
231.38,212.56,0.94086
232.94,212.99,0.99779
233.83,212.96,1.0436
228.14,219.14,0.44997
227.01,217.43,0.47866
228.85,219.42,0.4712
227.37,218,0.46881
227.06,217.28,0.48903
227.24,216.59,0.53249
230.67,219.99,0.53394
235.25,223.41,0.5923
236.21,224.1,0.60529
233.52,220.81,0.63531
237.13,223.42,0.68549
237.33,221.85,0.77433
236.63,221.41,0.76098
238.68,222.14,0.82715
241.78,224.39,0.86946
237.2,220.81,0.81932
239.11,220.42,0.93452
241.15,221.95,0.95985
249.71,230.95,0.93805
253.41,235.04,0.91834
253.18,233.9,0.9643
253.22,233.6,0.98123
254.37,234.22,1.0077
255.26,231.97,1.1644
242.29,232.73,0.47783
242.46,232.17,0.51439
238.62,227.8,0.5413
247.65,236.21,0.57235
249.16,237.12,0.60176
247.6,234.78,0.64098
251.84,238.43,0.67059
256.13,242.35,0.68885
255.38,240.31,0.75334
263.63,246.76,0.84393
269.05,250.51,0.92707
